iter	Passed	Remaining
437	1331	1708
438	1333	1704
439	1336	1701
440	1339	1697
441	1341	1693
442	1344	1689
443	1349	1689
444	1351	1685
445	1354	1681
446	1356	1678
447	1358	1674
448	1361	1670
449	1366	1669
450	1373	1671
451	1375	1668
452	1378	1664
453	1380	1660
454	1383	1657
455	1385	1653
456	1388	1649
457	1390	1645
458	1393	1642
459	1395	1638
460	1398	1635
461	1400	1631
462	1403	1627
463	1405	1623
464	1408	1620
465	1410	1616
466	1413	1613
467	1416	1609
468	1418	1606
469	1421	1602
470	1423	1598
471	1425	1595
472	1428	1591
473	1432	1590
474	1435	1586
475	1439	1584
476	1442	1581
477	1445	1578
478	1447	1574
479	1450	1571
480	1453	1568
481	1455	1564
482	1458	1560
483	1462	1558
484	1466	1557
485	1469	1553
486	1472	1550
487	1475	1547
488	1477	1544
489	1480	1540
490	1483	1537
491	1486	1534
492	1489	1531
493	1491	1528
494	1494	1524
495	1497	1521
496	1500	1518
497	1503	1515
498	1506	1512
499	1508	1508
500	1511	1505
501	1514	1502
502	1516	1498
503	1519	1495
504	1522	1492
505	1526	1490
506	1530	1488
507	1533	1484
508	1535	1481
509	1538	1477
510	1540	1474
511	1543	1471
512	1546	1467
513	1549	1465
514	1552	1462
515	1554	1458
516	1561	1458
517	1564	1456
518	1567	1452
519	1569	1448
520	1573	1446
521	1576	1443
522	1578	1439
523	1581	1436
524	1583	1432
525	1585	1429
526	1589	1426
527	1591	1422
528	1595	1420
529	1598	1417
530	1600	1413
531	1603	1410
532	1606	1407
533	1608	1403
534	1611	1400
535	1614	1397
536	1616	1394
537	1619	1390
538	1622	1387
539	1625	1384
540	1627	1381
541	1630	1378
542	1633	1375
543	1636	1371
544	1639	1368
545	1642	1365
546	1644	1361
547	1646	1358
548	1649	1355
549	1652	1352
550	1656	1349
551	1663	1350
552	1665	1346
553	1671	1345
554	1673	1342
555	1676	1339
556	1679	1336
557	1682	1332
558	1687	1331
559	1690	1327
560	1692	1324
561	1695	1321
562	1698	1318
563	1708	1320
564	1713	1319
565	1716	1316
566	1721	1314
567	1723	1310
568	1728	1309
569	1737	1310
570	1743	1309
571	1752	1311
572	1756	1308
573	1758	1305
574	1760	1301
575	1763	1298
576	1769	1297
577	1773	1295
578	1776	1291
579	1779	1288
580	1788	1290
581	1791	1286
582	1794	1283
583	1800	1282
584	1803	1279
585	1805	1275
586	1808	1272
587	1811	1269
588	1817	1268
589	1819	1264
590	1822	1260
591	1825	1258
592	1829	1255
593	1833	1253
594	1836	1249
595	1838	1246
596	1841	1243
597	1845	1240
598	1850	1238
599	1852	1235
600	1855	1231
601	1858	1228
602	1863	1226
603	1866	1223
604	1868	1220
605	1871	1217
606	1874	1213
607	1881	1213
608	1889	1213
609	1901	1215
610	1904	1212
611	1906	1208
612	1913	1208
613	1916	1204
614	1919	1201
615	1921	1197
616	1924	1194
617	1932	1194
618	1936	1192
619	1939	1188
620	1945	1187
621	1948	1183
622	1950	1180
623	1952	1176
624	1955	1173
625	1960	1171
626	1964	1168
627	1972	1168
628	1979	1167
629	1981	1163
630	1984	1160
631	1989	1158
632	1998	1158
633	2000	1154
634	2003	1151
635	2010	1150
636	2013	1147
637	2015	1143
638	2025	1144
639	2027	1140
640	2029	1136
641	2032	1133
642	2040	1132
643	2045	1130
644	2049	1128
645	2054	1126
646	2060	1124
647	2063	1121
648	2066	1117
649	2072	1115
650	2074	1112
651	2077	1108
652	2080	1105
653	2083	1102
654	2090	1101
655	2096	1099
656	2103	1098
657	2106	1094
658	2108	1091
659	2110	1087
660	2113	1083
661	2116	1080
662	2123	1079
663	2125	1075
664	2128	1072
665	2131	1068
666	2134	1065
667	2136	1062
668	2139	1058
669	2141	1054
670	2145	1052
671	2153	1051
672	2158	1048
673	2160	1044
674	2163	1041
675	2171	1040
676	2176	1038
677	2185	1037
678	2193	1036
679	2205	1037
680	2216	1038
681	2226	1038
682	2233	1036
683	2241	1035
684	2249	1034
685	2257	1033
686	2262	1030
687	2269	1029
688	2273	1026
689	2275	1022
690	2279	1019
691	2282	1015
692	2299	1018
693	2316	1021
694	2327	1021
695	2334	1019
696	2337	1016
697	2341	1012
698	2344	1009
699	2347	1006
700	2349	1002
701	2352	998
702	2354	994
703	2357	991
704	2360	987
705	2362	983
706	2364	980
707	2367	976
708	2369	972
709	2372	968
710	2374	965
711	2377	961
712	2383	959
713	2385	955
714	2388	952
715	2394	949
716	2396	946
717	2399	942
718	2402	938
719	2407	936
720	2410	932
721	2415	930
722	2418	926
723	2425	924
724	2428	921
725	2432	917
726	2434	914
727	2441	912
728	2443	908
729	2446	904
730	2449	901
731	2451	897
732	2459	895
733	2462	892
734	2464	888
735	2467	884
736	2479	884
737	2481	880
738	2485	877
739	2490	875
740	2493	871
741	2495	867
742	2498	864
743	2506	862
744	2514	860
745	2526	860
746	2528	856
747	2531	852
748	2539	851
749	2545	848
750	2549	845
751	2554	842
752	2557	838
753	2559	835
754	2562	831
755	2568	829
756	2591	831
757	2604	831
758	2611	829
759	2616	826
760	2623	823
761	2629	821
762	2635	818
763	2641	816
764	2649	813
765	2661	812
766	2670	811
767	2691	812
768	2699	810
769	2724	813
770	2733	811
771	2737	808
772	2740	804
773	2743	801
774	2746	797
775	2749	793
776	2752	789
777	2754	786
778	2758	782
779	2761	778
780	2763	775
781	2766	771
782	2769	767
783	2772	763
784	2774	759
785	2778	756
786	2781	752
787	2783	748
788	2786	745
789	2790	741
790	2794	738
791	2797	734
792	2800	730
793	2802	727
794	2805	723
795	2809	720
796	2813	716
797	2816	712
798	2819	709
799	2821	705
800	2825	701
801	2829	698
802	2832	694
803	2834	691
804	2838	687
805	2842	684
806	2844	680
807	2847	676
808	2850	672
809	2853	669
810	2856	665
